GPA,Course_Scores,Aptitude_Score,Attendance,Supervisor_Evaluation,Report_Quality,Activity_Log_Frequency,Completion_Time,Feedback_Rating,Performance,Intern_ID,Performance_Score
2.96,19.7,72.7,56.97,0.0,5.1,9,1.7,1.0,Good,INT4836,70.56
0.83,54.5,44.6,4.24,3.68,6.16,10,3.39,2.47,Average,INT4837,69.73
2.59,82.2,73.0,88.31,5.1,8.04,13,3.14,3.04,Excellent,INT4838,88.85
2.06,69.6,25.4,4.76,5.75,9.12,13,1.25,3.3,Good,INT4839,70.98
2.1,73.2,51.9,94.64,2.88,4.95,10,2.42,2.15,Good,INT4840,77.44
0.59,4.8,20.3,63.85,0.0,1.41,5,6.79,1.0,Fair,INT4841,42.08
0.34,2.9,2.9,62.11,5.6,1.03,9,6.96,3.24,Fair,INT4842,42.53
0.4,30.6,56.1,7.89,2.0,1.75,9,2.69,1.8,Average,INT4843,68.88
3.71,72.3,56.8,3.18,3.3,3.64,13,1.28,2.32,Good,INT4844,83.23
2.65,80.0,19.2,13.87,2.97,7.7,14,2.19,2.19,Good,INT4845,80.65
3.35,74.6,66.3,67.66,7.38,8.92,12,3.15,3.95,Good,INT4846,83.11
1.09,58.9,34.1,92.89,1.15,4.33,10,7.0,1.46,Average,INT4847,55.14
3.53,97.0,84.5,51.37,10.0,9.57,17,1.87,5.0,Excellent,INT4848,94.02
0.58,19.8,59.4,50.16,5.45,0.82,8,5.26,3.18,Fair,INT4849,53.5
2.48,68.2,73.9,4.07,8.0,5.15,7,1.26,4.2,Good,INT4850,74.47
1.95,43.9,17.7,95.7,5.85,2.28,13,6.93,3.34,Average,INT4851,69.68
3.52,73.5,35.3,95.07,6.8,7.83,16,3.17,3.72,Excellent,INT4852,86.72
3.21,77.9,66.5,75.94,2.5,8.29,13,5.34,2.0,Average,INT4853,68.87
1.24,59.8,26.2,77.66,5.95,5.09,5,2.59,3.38,Average,INT4854,61.36
1.09,50.8,57.4,39.2,6.68,1.13,16,4.84,3.67,Average,INT4855,56.19
3.6,93.3,97.1,62.19,7.5,8.98,10,2.25,4.0,Excellent,INT4856,86.02
2.2,48.2,90.9,90.76,0.05,8.6,12,1.52,1.02,Good,INT4857,84.7
1.72,12.2,18.9,66.83,6.32,1.11,6,6.73,3.53,Average,INT4858,56.33
1.37,38.4,56.3,74.37,5.38,1.09,14,6.96,3.15,Average,INT4859,58.75
2.02,80.1,64.6,47.28,10.0,2.09,3,6.8,5.0,Good,INT4860,71.72
0.45,49.8,6.0,55.18,0.0,2.48,9,5.14,1.0,Fair,INT4861,53.64
2.09,9.3,12.8,75.98,5.25,3.65,10,6.16,3.1,Average,INT4862,65.89
2.2,93.1,57.4,78.88,0.0,6.53,10,1.12,1.0,Average,INT4863,65.12
3.12,83.5,36.3,87.12,6.4,7.28,16,2.67,3.56,Good,INT4864,82.2
1.83,77.0,33.9,61.74,4.68,8.91,17,2.82,2.87,Good,INT4865,78.97
0.78,2.5,7.7,34.11,0.0,2.44,10,4.93,1.0,Poor,INT4866,38.01
2.91,49.4,60.7,78.48,8.75,3.57,16,3.49,4.5,Good,INT4867,77.87
3.62,80.3,87.4,99.16,6.15,5.7,13,1.62,3.46,Good,INT4868,79.21
0.93,14.7,37.4,60.87,5.25,5.5,4,4.56,3.1,Fair,INT4869,42.59
2.34,4.2,30.9,99.3,3.7,2.14,14,6.04,2.48,Average,INT4870,63.53
0.21,32.9,3.8,51.38,0.0,5.33,6,3.24,1.0,Average,INT4871,60.91
3.27,65.2,75.3,91.3,1.65,6.06,15,1.74,1.66,Good,INT4872,76.75
0.51,70.9,38.6,23.46,3.35,5.64,14,1.91,2.34,Average,INT4873,69.72
1.75,60.3,47.9,65.02,6.88,5.94,12,2.91,3.75,Excellent,INT4874,85.65
2.69,57.3,83.6,52.89,9.75,4.64,7,2.78,4.9,Good,INT4875,81.49
1.04,56.4,15.4,48.17,5.58,2.44,17,3.92,3.23,Average,INT4876,64.48
0.68,55.1,18.3,67.75,2.0,7.12,11,4.33,1.8,Fair,INT4877,48.14
1.96,41.5,51.5,55.26,4.68,5.17,13,5.19,2.87,Average,INT4878,68.95
3.36,86.5,55.1,55.21,8.85,9.82,19,2.94,4.54,Good,INT4879,77.7
0.06,2.6,10.1,0.0,0.0,0.49,7,5.64,1.0,Poor,INT4880,28.99
3.39,83.4,87.5,66.83,10.0,6.78,10,2.0,5.0,Excellent,INT4881,96.13
1.08,52.0,65.1,59.86,2.0,1.02,19,3.31,1.8,Average,INT4882,56.77
1.77,49.2,44.1,56.48,5.3,5.88,2,5.88,3.12,Average,INT4883,59.26
3.06,66.7,55.3,34.8,4.18,5.46,11,1.97,2.67,Good,INT4884,75.65
1.55,50.2,64.7,60.67,6.2,8.71,20,2.06,3.48,Good,INT4885,80.95
2.75,11.9,59.4,55.33,6.4,8.99,5,5.84,3.56,Average,INT4886,68.4
1.74,51.9,50.7,61.49,6.38,7.18,14,3.92,3.55,Good,INT4887,70.12
1.06,46.1,27.7,50.42,2.0,3.12,7,5.49,1.8,Poor,INT4888,38.64
3.21,92.3,91.6,0.0,10.0,9.63,21,1.0,5.0,Excellent,INT4889,100.0
3.34,80.4,77.0,79.61,10.0,8.78,14,3.92,5.0,Good,INT4890,76.62
3.91,79.8,83.0,85.99,6.35,5.3,16,2.58,3.54,Good,INT4891,84.54
2.2,59.6,31.1,46.06,4.18,8.04,5,1.65,2.67,Good,INT4892,80.16
0.29,5.0,43.4,57.22,2.0,1.2,5,4.96,1.8,Fair,INT4893,46.67
2.84,85.7,42.3,79.75,5.4,9.28,6,2.28,3.16,Excellent,INT4894,89.44
0.18,32.2,27.9,28.86,4.75,2.53,11,3.49,2.9,Fair,INT4895,50.14
2.42,24.0,22.2,70.06,2.68,5.97,14,1.49,2.07,Average,INT4896,56.38
3.3,83.0,90.3,78.45,4.88,7.17,12,2.28,2.95,Good,INT4897,80.62
1.23,16.9,74.7,77.94,0.0,1.99,7,2.35,1.0,Average,INT4898,60.14
0.69,39.8,36.9,55.95,0.0,4.92,15,1.85,1.0,Average,INT4899,56.44
0.49,12.7,52.3,25.45,0.0,3.06,13,6.13,1.0,Fair,INT4900,43.94
2.36,69.6,35.5,9.67,5.38,2.71,11,1.0,3.15,Good,INT4901,77.04
0.67,32.9,62.4,66.29,0.0,3.28,5,3.59,1.0,Average,INT4902,59.49
2.25,54.6,19.5,54.09,4.78,0.52,12,1.94,2.91,Average,INT4903,57.23
1.47,30.8,51.7,56.37,4.05,3.6,9,3.03,2.62,Average,INT4904,60.05
2.74,30.7,57.4,0.0,4.65,5.55,20,6.61,2.86,Good,INT4905,74.14
3.5,87.3,87.7,88.46,4.68,9.35,13,2.17,2.87,Excellent,INT4906,91.07
3.33,55.5,49.1,99.81,4.02,5.89,10,6.93,2.61,Average,INT4907,62.2
0.64,44.7,65.4,62.7,4.58,4.14,8,2.51,2.83,Average,INT4908,69.58
0.21,13.5,7.2,74.39,0.0,3.31,9,5.19,1.0,Fair,INT4909,40.94
0.97,8.9,85.1,61.82,0.0,1.71,3,3.92,1.0,Fair,INT4910,40.95
0.69,12.7,4.9,66.83,2.08,1.96,8,5.96,1.83,Fair,INT4911,49.33
1.17,21.7,52.9,55.77,4.95,5.41,13,4.25,2.98,Average,INT4912,61.62
3.18,17.4,67.0,56.36,10.0,4.64,9,4.41,5.0,Good,INT4913,71.74
2.86,47.6,64.6,53.59,5.55,7.31,6,2.36,3.22,Good,INT4914,76.21
3.35,61.7,63.1,58.24,5.93,5.76,9,2.21,3.37,Good,INT4915,77.3
0.25,29.7,18.5,74.7,0.68,1.79,10,6.31,1.27,Poor,INT4916,37.55
2.17,16.1,46.4,43.38,7.3,8.52,12,3.13,3.92,Excellent,INT4917,88.99
2.53,63.5,90.9,93.97,1.15,3.17,8,3.1,1.46,Good,INT4918,72.16
1.35,92.9,42.9,87.02,6.85,2.92,14,6.0,3.74,Good,INT4919,72.6
3.67,71.5,69.6,73.09,4.62,5.15,12,2.87,2.85,Good,INT4920,77.15
3.21,46.9,30.2,99.22,2.38,8.45,13,6.81,1.95,Average,INT4921,68.55
2.81,80.2,49.9,72.81,10.0,5.9,14,5.68,5.0,Good,INT4922,76.27
3.02,77.4,29.2,66.83,10.0,3.84,11,4.99,5.0,Good,INT4923,77.41
1.86,18.1,43.8,99.63,7.35,3.24,3,6.23,3.94,Average,INT4924,61.09
3.18,20.1,25.4,1.6,2.62,0.43,11,3.92,2.05,Good,INT4925,72.88
3.57,78.6,42.8,77.49,6.65,4.25,21,2.47,3.66,Average,INT4926,69.16
2.01,38.3,55.7,65.45,4.68,9.45,9,3.61,2.87,Good,INT4927,80.45
2.34,80.2,70.0,75.18,0.0,4.05,6,2.51,1.0,Good,INT4928,73.99
1.8,27.2,37.6,77.94,0.0,2.99,10,3.92,1.0,Fair,INT4929,47.49
0.96,34.5,36.6,31.86,3.82,4.13,7,6.15,2.53,Fair,INT4930,50.01
3.12,30.4,24.8,77.84,0.0,4.98,6,3.6,1.0,Average,INT4931,58.04
3.45,85.4,68.6,87.8,2.52,4.52,12,3.45,2.01,Good,INT4932,79.85
1.11,51.1,28.7,63.33,3.12,5.85,4,6.37,2.25,Fair,INT4933,51.58
1.8,40.8,50.8,69.17,7.38,8.01,5,3.66,3.95,Average,INT4934,62.97
0.4,14.9,19.7,63.41,2.0,0.79,11,4.3,1.8,Fair,INT4935,49.59
3.11,75.8,33.3,91.03,7.5,6.91,19,3.51,4.0,Excellent,INT4936,92.46
2.39,95.0,93.8,51.07,10.0,6.09,14,6.47,5.0,Good,INT4937,74.16
3.22,30.9,74.9,93.56,10.0,7.71,7,3.93,5.0,Excellent,INT4938,88.27
0.52,52.0,33.1,58.5,3.18,2.75,19,5.18,2.27,Fair,INT4939,47.3
0.16,45.9,42.8,53.68,9.6,2.97,11,5.96,4.84,Average,INT4940,63.9
0.91,85.1,92.0,55.97,2.35,2.07,14,2.67,1.94,Average,INT4941,68.12
0.34,33.4,51.5,58.05,2.0,0.79,7,3.25,1.8,Fair,INT4942,51.73
0.36,17.4,26.5,76.65,5.25,2.03,10,6.36,3.1,Fair,INT4943,46.18
2.23,74.5,32.5,78.53,0.0,3.87,9,3.43,1.0,Good,INT4944,74.37
0.23,19.1,10.8,67.86,0.0,1.18,6,6.1,1.0,Fair,INT4945,43.64
2.68,91.6,37.4,97.93,4.98,8.28,12,6.26,2.99,Good,INT4946,78.24
0.38,53.8,17.5,51.91,4.5,7.44,5,4.44,2.8,Poor,INT4947,37.95
0.99,49.8,65.4,66.75,3.9,3.55,14,5.78,2.56,Average,INT4948,63.59
0.72,20.6,46.7,59.06,2.03,6.14,4,6.05,1.81,Fair,INT4949,54.0
1.16,27.6,59.6,66.83,7.0,7.29,6,6.38,3.8,Average,INT4950,56.52
2.82,66.4,41.1,52.81,5.22,7.38,12,3.92,3.09,Average,INT4951,62.75
1.03,26.2,61.5,97.41,2.0,2.68,12,1.67,1.8,Good,INT4952,71.75
2.31,55.6,80.6,60.04,5.35,6.7,11,3.43,3.14,Good,INT4953,77.09
0.33,6.2,1.7,65.14,0.83,1.05,15,4.85,1.33,Average,INT4954,55.01
3.46,82.4,78.0,51.15,5.42,9.55,7,3.77,3.17,Good,INT4955,75.0
2.86,55.3,95.9,0.0,9.15,7.98,12,5.63,4.66,Average,INT4956,66.77
3.64,48.9,69.0,83.38,6.4,7.37,16,2.98,3.56,Excellent,INT4957,86.08
0.94,22.4,5.2,98.74,10.0,8.39,9,5.08,5.0,Good,INT4958,81.9
3.07,63.6,53.1,80.32,1.07,6.85,18,3.92,1.43,Good,INT4959,80.34
0.75,20.8,5.9,86.07,1.38,4.24,11,5.78,1.55,Average,INT4960,61.63
0.38,31.0,16.2,54.4,9.02,4.13,5,3.8,4.61,Average,INT4961,56.87
3.43,82.2,54.3,81.39,5.18,8.85,13,2.22,3.07,Excellent,INT4962,88.67
3.86,87.6,92.0,72.69,3.77,8.14,11,3.11,2.51,Excellent,INT4963,89.86
0.48,34.1,46.5,94.29,0.0,4.32,12,5.08,1.0,Fair,INT4964,54.68
1.46,58.5,50.5,69.41,1.35,2.64,14,3.92,1.54,Average,INT4965,66.72
2.76,47.4,95.1,52.04,2.75,9.49,13,1.96,2.1,Excellent,INT4966,94.22
0.21,7.1,12.7,61.41,1.82,1.5,7,7.0,1.73,Fair,INT4967,48.91
0.34,27.6,21.7,62.97,0.0,4.55,4,5.62,1.0,Fair,INT4968,53.21
0.57,25.7,78.1,40.13,3.63,4.44,6,7.0,2.45,Fair,INT4969,51.04
2.3,83.0,76.7,65.2,5.52,7.61,8,3.93,3.21,Good,INT4970,74.49
3.1,44.2,86.1,29.07,10.0,7.72,10,4.09,5.0,Excellent,INT4971,89.07
0.1,7.6,6.5,52.48,4.42,2.86,6,6.07,2.77,Fair,INT4972,47.95
1.38,41.0,37.3,91.84,6.08,6.23,11,3.95,3.43,Average,INT4973,59.27
0.19,4.8,1.9,9.27,3.63,0.02,5,5.24,2.45,Fair,INT4974,40.87
0.6,39.3,80.6,94.37,4.68,2.16,13,2.6,2.87,Average,INT4975,64.06
1.42,55.3,12.5,56.27,4.68,4.78,12,3.96,2.87,Average,INT4976,68.64
2.98,64.9,84.1,23.1,0.45,7.33,17,1.47,1.18,Good,INT4977,77.78
1.42,81.3,67.4,66.83,6.05,6.91,14,1.87,3.42,Average,INT4978,65.01
3.68,97.5,49.9,7.87,6.45,9.71,9,1.0,3.58,Excellent,INT4979,88.92
2.25,58.9,93.0,9.84,4.9,8.87,14,1.0,2.96,Excellent,INT4980,95.6
1.29,20.4,17.5,78.73,2.1,0.3,12,7.0,1.84,Fair,INT4981,42.04
2.09,64.2,16.2,64.35,2.95,4.96,13,2.53,2.18,Average,INT4982,63.08
2.48,72.7,68.1,55.02,7.4,8.34,13,5.22,3.96,Excellent,INT4983,86.8
2.68,33.5,24.0,75.12,7.75,4.59,16,5.59,4.1,Fair,INT4984,49.18
1.31,46.8,36.1,66.74,10.0,4.55,11,4.76,5.0,Good,INT4985,72.92
2.46,34.3,57.1,91.33,8.52,6.09,15,1.42,4.41,Good,INT4986,78.82
3.43,61.8,37.4,64.36,7.43,8.1,9,5.2,3.97,Good,INT4987,72.45
3.63,29.3,31.3,69.68,7.2,5.56,19,4.78,3.88,Good,INT4988,74.5
1.37,61.9,70.2,61.49,6.18,6.39,8,4.94,3.47,Good,INT4989,71.2
3.08,51.8,80.6,96.01,10.0,8.34,16,5.2,5.0,Good,INT4990,79.53
2.12,35.9,40.5,76.84,8.9,3.34,9,6.43,4.56,Average,INT4991,68.36
1.83,55.6,38.1,20.94,9.8,5.97,7,4.52,4.92,Average,INT4992,66.9
2.1,42.1,42.6,95.79,0.0,4.52,7,3.45,1.0,Average,INT4993,66.13
1.27,12.3,11.8,59.47,1.48,4.86,5,4.95,1.59,Fair,INT4994,52.72
2.69,71.2,54.4,52.42,4.68,8.57,14,1.51,2.87,Good,INT4995,81.5
2.28,75.0,85.9,43.49,4.0,7.22,6,6.23,2.6,Average,INT4996,58.36
1.9,37.4,70.9,86.35,0.0,2.99,7,1.24,1.0,Average,INT4997,69.04
0.97,49.6,34.2,96.16,2.0,2.96,7,2.49,1.8,Average,INT4998,61.29
1.46,43.8,20.3,81.86,8.83,5.91,14,6.28,4.53,Good,INT4999,72.08
0.89,60.3,8.2,97.59,2.0,5.36,8,3.92,1.8,Average,INT5000,65.42
2.53,45.2,28.1,54.62,4.5,5.65,8,3.86,2.8,Average,INT5001,65.68
2.62,27.5,48.4,53.04,10.0,2.78,8,3.5,5.0,Average,INT5002,67.0
1.87,32.7,37.2,53.35,0.62,5.13,9,6.3,1.25,Average,INT5003,62.04
1.96,34.5,45.1,98.31,0.32,2.64,16,3.49,1.13,Average,INT5004,58.49
1.01,51.7,30.5,75.14,1.35,3.43,6,3.92,1.54,Fair,INT5005,45.95
0.98,21.4,9.3,52.58,0.0,2.75,7,1.76,1.0,Average,INT5006,60.82
0.51,3.0,44.6,61.06,0.08,0.9,10,5.51,1.03,Fair,INT5007,48.69
2.11,55.3,38.4,62.24,3.15,3.05,11,5.89,2.26,Average,INT5008,60.25
0.88,85.6,58.0,66.89,9.05,5.33,8,1.79,4.62,Good,INT5009,73.99
0.57,55.1,16.6,52.18,4.02,2.87,12,3.9,2.61,Fair,INT5010,50.46
1.47,32.1,65.9,95.24,0.18,3.33,9,1.75,1.07,Average,INT5011,67.22
0.84,8.5,59.5,75.78,0.0,1.81,8,5.02,1.0,Fair,INT5012,45.41
3.7,71.2,43.8,83.55,10.0,8.9,11,4.71,5.0,Excellent,INT5013,92.69
0.49,49.3,22.5,53.36,4.18,7.01,4,4.64,2.67,Fair,INT5014,54.99
3.72,80.9,50.2,52.71,3.68,7.99,16,2.1,2.47,Good,INT5015,81.28
3.41,76.4,73.2,79.32,10.0,7.45,7,2.76,5.0,Excellent,INT5016,94.07
3.34,43.4,50.3,0.2,4.62,6.85,16,1.12,2.85,Good,INT5017,84.75
2.86,79.7,31.7,76.42,6.57,5.71,4,2.8,3.63,Good,INT5018,78.01
2.05,9.5,25.5,93.89,1.43,2.68,13,4.69,1.57,Average,INT5019,59.7
2.83,45.7,90.7,60.75,6.38,8.27,10,5.96,3.55,Good,INT5020,70.63
0.17,5.5,15.4,53.79,0.0,1.39,4,4.73,1.0,Fair,INT5021,47.73
3.2,87.6,75.0,66.83,5.82,3.78,10,3.53,3.33,Good,INT5022,79.85
0.44,9.9,15.4,82.89,0.0,1.8,10,6.92,1.0,Poor,INT5023,35.72
1.46,63.5,60.2,72.18,2.72,5.17,7,4.86,2.09,Good,INT5024,70.71
0.44,3.8,33.5,64.53,0.0,0.92,2,6.45,1.0,Poor,INT5025,34.03
1.77,19.7,53.1,70.93,6.3,2.09,15,4.02,3.52,Excellent,INT5026,85.36
1.04,28.7,39.5,45.13,7.05,2.14,14,2.29,3.82,Average,INT5027,61.62
2.61,78.2,55.5,95.53,4.05,6.78,18,1.47,2.62,Excellent,INT5028,91.24
1.45,50.5,65.5,55.17,4.38,3.16,17,5.15,2.75,Average,INT5029,58.67
1.68,10.5,20.6,66.83,3.18,2.78,11,1.84,2.27,Good,INT5030,75.08
1.98,88.7,61.3,76.88,10.0,5.99,15,2.82,5.0,Good,INT5031,83.01
2.81,62.9,81.7,84.91,10.0,9.73,8,3.91,5.0,Good,INT5032,83.18
0.33,23.0,76.7,81.53,4.42,7.2,13,4.16,2.77,Fair,INT5033,49.82
2.76,91.7,87.1,97.08,6.7,8.19,10,4.27,3.68,Excellent,INT5034,86.93
3.84,43.7,84.5,89.78,5.6,8.7,9,1.56,3.24,Excellent,INT5035,89.4
1.07,59.3,26.3,38.67,5.58,8.68,9,3.4,3.23,Good,INT5036,79.81
1.89,41.1,74.3,39.46,7.85,7.2,8,4.87,4.14,Fair,INT5037,52.09
2.89,9.3,20.1,37.61,4.22,0.99,8,6.49,2.69,Fair,INT5038,51.45
2.86,30.9,34.5,84.67,8.2,4.73,12,5.49,4.28,Good,INT5039,74.93
0.94,51.0,38.9,91.9,1.65,2.03,24,3.92,1.66,Average,INT5040,58.4
2.94,89.9,42.7,77.02,0.35,4.88,5,5.14,1.14,Good,INT5041,71.15
0.18,36.0,9.1,80.27,0.0,1.41,6,4.54,1.0,Fair,INT5042,49.18
0.69,85.2,30.0,76.35,0.0,4.44,12,2.38,1.0,Average,INT5043,62.86
0.93,14.2,15.2,50.88,1.43,2.9,4,4.55,1.57,Average,INT5044,64.75
0.93,4.8,7.5,53.6,4.68,2.32,8,5.02,2.87,Average,INT5045,62.46
3.07,53.3,23.2,23.99,3.32,8.35,15,5.09,2.33,Average,INT5046,60.2
0.7,46.7,55.6,32.28,5.42,1.49,4,3.53,3.17,Fair,INT5047,46.72
1.02,4.8,42.9,70.04,0.0,4.59,8,4.49,1.0,Average,INT5048,58.58
1.59,19.3,20.4,66.84,3.05,1.71,9,2.89,2.22,Average,INT5049,60.16
2.43,42.3,80.7,81.87,4.45,6.77,8,3.76,2.78,Average,INT5050,67.74
3.61,92.0,90.2,76.78,8.2,9.58,18,2.18,4.28,Excellent,INT5051,96.32
1.82,68.3,53.2,53.1,10.0,7.52,8,5.4,5.0,Good,INT5052,74.87
2.26,31.7,20.7,16.41,2.85,4.23,12,2.13,2.14,Average,INT5053,59.59
3.13,76.6,78.3,63.89,3.9,7.85,11,1.03,2.56,Excellent,INT5054,88.64
1.92,29.7,90.9,97.64,2.22,8.74,13,3.85,1.89,Good,INT5055,71.87
2.39,35.1,46.2,54.32,6.95,3.15,10,4.94,3.78,Average,INT5056,65.12
2.11,11.9,60.6,96.94,2.0,4.56,7,3.92,1.8,Average,INT5057,58.63
2.8,51.6,49.0,65.56,4.2,7.65,6,2.36,2.68,Good,INT5058,74.0
0.63,18.8,60.3,38.75,4.38,2.59,9,4.21,2.75,Average,INT5059,57.18
1.87,62.1,41.5,55.44,8.38,8.23,11,2.76,4.35,Average,INT5060,64.55
0.05,3.7,0.4,53.55,2.0,2.38,7,6.84,1.8,Poor,INT5061,26.68
0.86,18.5,12.7,71.48,2.0,4.59,5,6.24,1.8,Fair,INT5062,42.63
0.44,64.6,28.8,4.18,4.93,4.83,10,4.13,2.97,Average,INT5063,57.53
2.36,41.9,63.5,33.59,2.0,0.8,12,2.75,1.8,Average,INT5064,58.7
0.8,9.4,13.3,78.12,3.0,0.39,4,5.58,2.2,Fair,INT5065,41.3
3.78,74.2,81.9,6.99,6.42,8.26,20,1.26,3.57,Excellent,INT5066,89.96
0.7,3.1,6.4,69.43,0.0,0.51,7,3.77,1.0,Fair,INT5067,49.47
3.06,77.3,94.7,95.32,5.68,8.72,12,3.19,3.27,Good,INT5068,80.67
0.38,19.7,52.7,92.79,0.0,0.1,13,6.44,1.0,Fair,INT5069,46.94
3.96,68.3,84.2,2.53,10.0,9.64,12,1.39,5.0,Excellent,INT5070,99.24
2.51,31.9,24.6,61.91,8.83,6.06,8,4.55,4.53,Good,INT5071,80.63
0.2,11.1,3.2,59.66,4.68,1.08,9,5.48,2.87,Fair,INT5072,44.44
3.77,64.8,90.0,97.7,3.65,9.74,16,4.29,2.46,Good,INT5073,79.21
1.36,33.6,37.7,60.14,0.0,2.63,6,1.84,1.0,Average,INT5074,58.95
3.74,79.7,55.2,90.41,6.82,3.94,15,6.86,3.73,Good,INT5075,76.41
1.8,37.6,48.8,68.45,4.73,5.18,12,3.68,2.89,Average,INT5076,61.68
0.94,37.7,9.1,99.28,4.42,3.38,8,4.76,2.77,Fair,INT5077,48.69
3.09,32.7,67.9,68.41,0.93,4.22,8,2.28,1.37,Average,INT5078,65.17
0.35,28.6,23.1,67.58,0.0,8.15,11,3.94,1.0,Fair,INT5079,48.18
1.0,17.9,16.0,81.87,3.42,4.24,9,3.72,2.37,Average,INT5080,65.16
2.64,83.4,68.9,98.08,8.7,9.13,13,1.59,4.48,Excellent,INT5081,95.49
0.87,66.9,53.1,61.96,6.7,7.21,9,1.81,3.68,Good,INT5082,82.19
2.12,14.1,46.4,0.82,5.82,6.6,10,6.2,3.33,Average,INT5083,57.85
1.32,41.5,75.3,87.73,0.0,3.73,7,2.05,1.0,Average,INT5084,66.65
2.85,51.1,78.5,78.17,4.45,2.72,9,1.86,2.78,Average,INT5085,63.64
2.26,55.0,52.6,87.79,3.0,6.65,7,4.16,2.2,Average,INT5086,56.7
2.94,67.9,54.6,92.99,10.0,6.75,14,5.52,5.0,Good,INT5087,81.76
0.94,19.5,22.2,74.3,3.35,5.24,6,1.63,2.34,Average,INT5088,62.77
1.1,62.5,10.2,80.99,3.45,2.96,8,4.08,2.38,Good,INT5089,74.89
3.36,87.7,78.1,76.87,4.68,8.72,14,1.41,2.87,Good,INT5090,74.22
3.15,43.1,36.9,0.4,0.0,2.41,12,1.28,1.0,Good,INT5091,72.25
3.37,60.3,94.0,94.5,10.0,7.47,19,1.32,5.0,Excellent,INT5092,87.87
0.39,11.0,18.0,67.78,4.07,1.05,5,5.77,2.63,Average,INT5093,56.12
1.16,21.3,72.6,60.41,0.0,6.6,6,1.62,1.0,Good,INT5094,70.36
3.44,84.4,69.0,4.03,9.92,7.3,21,1.0,4.97,Excellent,INT5095,86.4
1.38,74.2,29.7,60.4,8.93,1.82,16,3.17,4.57,Average,INT5096,67.76
1.24,68.0,51.6,74.92,0.52,2.25,12,5.65,1.21,Fair,INT5097,49.51
3.52,71.5,89.2,95.18,7.6,9.31,13,2.65,4.04,Good,INT5098,80.74
1.59,68.5,58.5,57.09,10.0,5.3,14,3.89,5.0,Good,INT5099,74.83
1.46,34.2,31.7,9.35,2.28,1.85,12,1.0,1.91,Average,INT5100,64.34
1.91,5.1,59.5,58.31,4.68,5.75,13,3.22,2.87,Average,INT5101,66.31
3.17,32.7,58.8,95.04,2.57,7.64,13,4.68,2.03,Fair,INT5102,49.7
2.2,29.2,5.8,80.09,4.68,6.15,19,4.79,2.87,Fair,INT5103,53.22
3.11,73.9,39.3,51.59,5.1,0.78,11,2.63,3.04,Average,INT5104,66.27
3.02,69.6,93.4,81.66,7.5,8.74,8,2.78,4.0,Excellent,INT5105,93.3
2.44,90.7,60.4,66.83,8.32,8.28,15,1.3,4.33,Excellent,INT5106,100.0
1.42,34.5,8.8,53.96,2.7,0.71,15,2.81,2.08,Fair,INT5107,52.95
3.23,30.2,59.7,2.28,1.7,3.36,17,1.75,1.68,Good,INT5108,79.91
2.79,40.8,67.6,95.77,9.82,7.27,8,6.07,4.93,Good,INT5109,72.54
0.75,31.3,7.0,50.48,2.0,1.06,3,6.98,1.8,Poor,INT5110,28.03
0.25,36.6,74.7,48.88,7.15,4.26,4,7.0,3.86,Average,INT5111,63.5
2.58,60.5,83.2,73.75,10.0,2.44,4,6.12,5.0,Average,INT5112,62.33
2.96,82.1,18.1,67.35,6.52,8.53,6,5.0,3.61,Good,INT5113,77.94
0.29,18.3,20.3,81.38,0.0,0.93,16,4.92,1.0,Fair,INT5114,45.85
2.45,18.8,6.5,52.64,0.0,2.56,11,2.33,1.0,Fair,INT5115,52.63
3.02,43.4,82.1,87.65,10.0,6.38,17,4.98,5.0,Good,INT5116,76.8
2.84,87.6,42.7,50.22,4.2,2.65,18,3.6,2.68,Average,INT5117,69.36
3.3,67.7,50.2,65.35,7.5,4.27,13,3.92,4.0,Good,INT5118,78.26
0.53,2.2,35.6,75.2,0.0,2.69,14,5.72,1.0,Fair,INT5119,41.9
1.34,80.4,28.1,68.85,0.97,4.34,10,2.52,1.39,Good,INT5120,71.62
2.45,22.3,22.2,65.37,3.2,7.89,7,2.98,2.28,Good,INT5121,74.67
0.06,3.7,0.9,91.54,2.35,1.41,10,6.35,1.94,Fair,INT5122,41.53
3.51,79.1,92.6,96.74,4.62,7.47,7,1.62,2.85,Excellent,INT5123,89.3
3.43,95.3,82.8,93.69,8.1,2.81,14,3.72,4.24,Good,INT5124,75.71
0.14,22.9,10.5,53.17,1.43,1.23,7,6.51,1.57,Fair,INT5125,40.92
1.93,50.0,27.5,94.21,2.22,1.64,7,4.18,1.89,Average,INT5126,63.88
2.36,74.7,86.6,8.63,10.0,6.29,18,4.57,5.0,Good,INT5127,80.2
2.7,87.6,98.1,70.46,0.0,7.83,19,2.62,1.0,Good,INT5128,73.14
3.4,93.4,70.1,64.17,3.58,8.91,15,2.75,2.43,Good,INT5129,84.53
0.35,11.9,5.2,54.91,7.43,1.29,4,5.83,3.97,Fair,INT5130,40.56
1.49,22.7,61.3,73.95,0.18,1.66,10,4.12,1.07,Average,INT5131,59.65
3.81,73.6,60.4,97.31,10.0,7.62,10,4.17,5.0,Excellent,INT5132,95.84
3.84,93.4,79.9,78.05,10.0,8.19,14,3.92,5.0,Excellent,INT5133,97.72
0.67,61.8,3.2,0.0,2.3,5.2,14,1.0,1.92,Average,INT5134,69.9
